nom,distance,ascension_droite,declinaison,masse,temperature,type
Kepler-1032 b,683.854,19 19 43.4040,+40 05 51.8400,,,planet
HD 154857 b,64.2,17 11 15.7217,-56 40 50.8706,2.24,336.0,planet
HD 154857 c,64.2,17 11 15.7217,-56 40 50.8706,2.58,,planet
Kepler-994 b,189.186,19 16 17.3254,+47 24 25.3965,,,planet
Kepler-1350 b,343.926,19 13 00.1410,+46 40 46.5233,,,planet
Kepler-1350 c,343.926,19 13 00.1410,+46 40 46.5233,,,planet
Kepler-1268 b,1945.15,19 11 21.2310,+43 09 11.6529,,,planet
KMT-2019-BLG-1339L b,6120.0,17 42 58,-25 34 26,1.25,,planet
KMT-2019-BLG-1715 b,3860.0,18 01 29.00,-28 46 38.00,2.56,,planet
TOI-1685 b,37.609,04 34 23.00,+43 02 13.00,0.01189,1069.0,planet
Kepler-1519 b,1503.53,19 46 40.3040,+49 27 42.6262,,,planet
Kepler-791 b,1312.85,19 34 23.0000,+39 01 46.1342,,,planet
Kepler-175 b,1219.23,19 18 12.7847,+43 52 34.2341,,,planet
Kepler-175 c,1219.23,19 18 12.7847,+43 52 34.2341,,,planet
OGLE-2017-BLG-0373L b,5915.0,17 57 19.06,-31 57 06.2,0.401,,planet
WASP-71 b,200.0,01 57 03.2040,+00 45 31.8788,2.242,1888.1,planet
HD 1666 b,110.6,00 20 52.33959,-19 55 52.4083,6.43,,planet
Kepler-1205 b,712.708,19 21 07.1249,+41 30 54.1421,,,planet
KMT-2016-BLG-2605 b,6421.0,17 59 18.00,-26 58 55.00,0.771,,planet
LTT 3780 b,21.98,10 18 35.1370,-11 43 00.2415,0.00824,892.0,planet
LTT 3780 c,21.98,10 18 35.1370,-11 43 00.2415,0.02706,353.0,planet
WASP-177 b,177.7,22 19 11.3367,-01 50 03.0791,0.508,1142.0,planet
Kepler-1061 b,552.029,19 44 55.2011,+50 16 30.7459,,,planet
NGTS-18 b,1108.0,12 02 11.00,-35 32 55.00,0.409,1381.0,planet
WASP-170 b,308.27,09 01 39.9237,-20 43 13.3445,1.6,1422.0,planet
HD 132563 B b,96.0,14 58 21.519,+44 02 35.33,1.49,158.5,planet
WASP-192 b,495.0,14 54 38.0915,-38 44 40.3449,2.3,1620.0,planet
HAT-P-31 b,354.0,18 06 09.0499,+26 25 35.9897,2.171,1324.7,planet
Kepler-1332 b,536.855,19 24 06.8594,+43 54 49.2459,,,planet
Kepler-626 b,647.501,19 14 47.6806,+39 42 29.7664,,,planet
HD 164595 b,28.93,18 00 38.89431,+29 34 18.9202,0.051,,planet
HD 106906 b,92.0,12 17 53.19228,-55 58 31.8890,12.3,1820.0,planet
WISEA J083011.95+283716.0,11.1,08 30 11.95,+28 37 16.00,8.5,350.0,planet
WASP-67 b,225.0,19 42 58.5217,-19 56 58.5230,0.42,940.6,planet
Kepler-585 b,595.203,19 06 06.8366,+43 52 24.2185,,,planet
HIP 116454 b,55.2,23 35 49.2850,+00 26 43.8427,0.037182,690.0,planet
Kepler-215 d,593.87,19 39 53.6403,+45 12 49.2216,,,planet
Kepler-215 b,593.87,19 39 53.6403,+45 12 49.2216,,,planet
Kepler-215 c,593.87,19 39 53.6403,+45 12 49.2216,,,planet
Kepler-215 e,593.87,19 39 53.6403,+45 12 49.2216,,,planet
Kepler-1437 b,,19 27 27.5749,+49 19 33.3210,,,planet
K2-36 b,110.09,11 17 47.7836,+03 51 59.0077,0.01227,1224.0,planet
K2-36 c,110.09,11 17 47.7836,+03 51 59.0077,0.02454,788.0,planet
Kepler-843 b,1204.53,19 45 17.2779,+48 58 17.2246,,,planet
Kepler-192 b,683.4,19 11 40.3000,+45 35 34.4252,,,planet
Kepler-192 c,683.4,19 11 40.3000,+45 35 34.4252,,,planet
Kepler-192 d,683.4,19 11 40.3000,+45 35 34.4252,,,planet
Kepler-739 b,1426.53,19 20 16.3135,+46 34 44.9363,,,planet
K2-367 b,176.965,22 31 26,-13 15 52,0.0202,,planet
Kepler-1580 b,1031.46,19 03 52.4906,+41 21 48.8113,,,planet
Kepler-1766 b,501.229,19 37 07,+46 40 31,0.0183,406.0,planet
HATS-10 b,496.0,19 37 13.6352,-22 12 16.1159,0.526,1407.0,planet
K2-243 b,269.2,12 04 29.1381,-04 53 57.1714,,1035.0,planet
K2-243 c,269.2,12 04 29.1381,-04 53 57.1714,,801.0,planet
HD 89839 b,57.3063,10 20 41,-53 39 50,5.01,,planet
Kepler-1491 b,,19 34 31.1419,+45 44 26.3089,,,planet
2M 1252+2735 b,197.2,12 52 51.00,+27 35 13.00,6.88,,planet
OGLE-2019-BLG-1470LAB b,6100.0,18 07 48.00,-27 02 01.00,2.2,,planet
HAT-P-49 b,322.0,20 21 45.9297,+26 41 33.6038,1.73,2131.0,planet
WASP-131 b,250.0,14 00 46.4447,-30 35 00.8376,0.27,,planet
OGLE-2018-BLG-1428L b,6220.0,17 42 12.00,-26 08 16.00,0.77,,planet
LP 714-47 b,52.7,04 16 45.6005,-12 05 02.4540,0.09691,700.0,planet
TOI-2338 b,313.996,05 25 23,-34 40 06,5.98,799.0,planet
Kepler-444 b,35.7,19 19 00.54910,+41 38 04.5682,,,planet
Kepler-444 c,35.7,19 19 00.54910,+41 38 04.5682,,,planet
Kepler-444 d,35.7,19 19 00.54910,+41 38 04.5682,,,planet
Kepler-444 e,35.7,19 19 00.54910,+41 38 04.5682,,,planet
Kepler-444 f,35.7,19 19 00.54910,+41 38 04.5682,,,planet
K2-247 b,260.2,12 35 34.4830,-10 04 09.2240,,979.0,planet
K2-247 c,260.2,12 35 34.4830,-10 04 09.2240,,688.0,planet
Kepler-1360 b,1585.04,20 01 22.5793,+45 37 23.5784,,,planet
KOI-830 b,720.0,19 22 19.6165,+40 34 38.5639,1.27,1070.0,planet
K2-353 b,268.515,13 26 28,-02 16 55,0.0829,735.0,planet
Kepler-686 b,1557.39,19 00 51.3164,+39 01 38.8120,,,planet
Kepler-1446 b,152.744,19 17 41.7499,+46 43 34.1975,,,planet
K2-341 b,421.408,08 41 59,+19 54 60,0.0327,598.0,planet
Kepler-347 b,1004.99,19 16 47.9064,+49 18 20.5593,,,planet
Kepler-347 c,1004.99,19 16 47.9064,+49 18 20.5593,,,planet
